"# Panel (a) Conventional -- SNR_dB, then SER for log2M=2,4,6,8"
SNR_dB,SER_log2M2,SER_log2M4,SER_log2M6,SER_log2M8
-72.6574,7.499071e-01,9.374688e-01,9.843661e-01,9.960914e-01,9.990228e-01
-72.1574,7.499016e-01,9.374670e-01,9.843656e-01,9.960912e-01,9.990228e-01
-71.6574,7.498957e-01,9.374650e-01,9.843650e-01,9.960911e-01,9.990228e-01
-71.1574,7.498896e-01,9.374630e-01,9.843645e-01,9.960909e-01,9.990227e-01
-70.6574,7.498830e-01,9.374608e-01,9.843638e-01,9.960908e-01,9.990227e-01
-70.1574,7.498761e-01,9.374584e-01,9.843632e-01,9.960906e-01,9.990226e-01
-69.6574,7.498688e-01,9.374560e-01,9.843625e-01,9.960904e-01,9.990226e-01
-69.1574,7.498610e-01,9.374534e-01,9.843617e-01,9.960902e-01,9.990225e-01
-68.6574,7.498527e-01,9.374506e-01,9.843609e-01,9.960900e-01,9.990225e-01
-68.1574,7.498440e-01,9.374477e-01,9.843601e-01,9.960898e-01,9.990224e-01
-67.6574,7.498348e-01,9.374446e-01,9.843592e-01,9.960895e-01,9.990224e-01
-67.1574,7.498250e-01,9.374413e-01,9.843583e-01,9.960893e-01,9.990223e-01
-66.6574,7.498146e-01,9.374378e-01,9.843573e-01,9.960890e-01,9.990222e-01
-66.1574,7.498036e-01,9.374341e-01,9.843562e-01,9.960888e-01,9.990221e-01
-65.6574,7.497920e-01,9.374302e-01,9.843551e-01,9.960885e-01,9.990221e-01
-65.1574,7.497796e-01,9.374261e-01,9.843540e-01,9.960881e-01,9.990220e-01
-64.6574,7.497666e-01,9.374217e-01,9.843527e-01,9.960878e-01,9.990219e-01
-64.1574,7.497527e-01,9.374171e-01,9.843514e-01,9.960875e-01,9.990218e-01
-63.6574,7.497381e-01,9.374121e-01,9.843500e-01,9.960871e-01,9.990217e-01
-63.1574,7.497226e-01,9.374069e-01,9.843485e-01,9.960867e-01,9.990216e-01
-62.6574,7.497061e-01,9.374014e-01,9.843469e-01,9.960863e-01,9.990215e-01
-62.1574,7.496887e-01,9.373956e-01,9.843453e-01,9.960858e-01,9.990214e-01
-61.6574,7.496703e-01,9.373894e-01,9.843435e-01,9.960854e-01,9.990213e-01
-61.1574,7.496507e-01,9.373828e-01,9.843416e-01,9.960849e-01,9.990211e-01
-60.6574,7.496300e-01,9.373759e-01,9.843397e-01,9.960843e-01,9.990210e-01
-60.1574,7.496081e-01,9.373685e-01,9.843376e-01,9.960838e-01,9.990209e-01
-59.6574,7.495848e-01,9.373607e-01,9.843354e-01,9.960832e-01,9.990207e-01
-59.1574,7.495602e-01,9.373525e-01,9.843330e-01,9.960826e-01,9.990206e-01
-58.6574,7.495342e-01,9.373437e-01,9.843305e-01,9.960819e-01,9.990204e-01
-58.1574,7.495065e-01,9.373345e-01,9.843279e-01,9.960812e-01,9.990202e-01
-57.6574,7.494773e-01,9.373246e-01,9.843251e-01,9.960805e-01,9.990200e-01
-57.1574,7.494463e-01,9.373142e-01,9.843221e-01,9.960797e-01,9.990198e-01
-56.6574,7.494135e-01,9.373032e-01,9.843190e-01,9.960788e-01,9.990196e-01
-56.1574,7.493787e-01,9.372916e-01,9.843157e-01,9.960779e-01,9.990194e-01
-55.6574,7.493418e-01,9.372792e-01,9.843121e-01,9.960770e-01,9.990191e-01
-55.1574,7.493028e-01,9.372661e-01,9.843084e-01,9.960760e-01,9.990189e-01
-54.6574,7.492615e-01,9.372522e-01,9.843045e-01,9.960750e-01,9.990186e-01
-54.1574,7.492177e-01,9.372375e-01,9.843003e-01,9.960739e-01,9.990183e-01
-53.6574,7.491713e-01,9.372220e-01,9.842958e-01,9.960727e-01,9.990180e-01
-53.1574,7.491221e-01,9.372055e-01,9.842912e-01,9.960714e-01,9.990177e-01
-52.6574,7.490701e-01,9.371880e-01,9.842862e-01,9.960701e-01,9.990173e-01
-52.1574,7.490149e-01,9.371695e-01,9.842809e-01,9.960687e-01,9.990170e-01
-51.6574,7.489565e-01,9.371499e-01,9.842753e-01,9.960672e-01,9.990166e-01
-51.1574,7.488946e-01,9.371291e-01,9.842694e-01,9.960656e-01,9.990162e-01
-50.6574,7.488290e-01,9.371071e-01,9.842631e-01,9.960640e-01,9.990158e-01
-50.1574,7.487596e-01,9.370838e-01,9.842565e-01,9.960622e-01,9.990153e-01
-49.6574,7.486860e-01,9.370591e-01,9.842495e-01,9.960603e-01,9.990148e-01
-49.1574,7.486080e-01,9.370329e-01,9.842420e-01,9.960583e-01,9.990143e-01
-48.6574,7.485254e-01,9.370052e-01,9.842341e-01,9.960562e-01,9.990138e-01
-48.1574,7.484379e-01,9.369758e-01,9.842257e-01,9.960540e-01,9.990132e-01
-47.6574,7.483452e-01,9.369446e-01,9.842169e-01,9.960516e-01,9.990126e-01
-47.1574,7.482469e-01,9.369117e-01,9.842075e-01,9.960491e-01,9.990119e-01
-46.6574,7.481429e-01,9.368767e-01,9.841975e-01,9.960465e-01,9.990112e-01
-46.1574,7.480326e-01,9.368397e-01,9.841870e-01,9.960437e-01,9.990105e-01
-45.6574,7.479158e-01,9.368004e-01,9.841758e-01,9.960407e-01,9.990098e-01
-45.1574,7.477920e-01,9.367589e-01,9.841640e-01,9.960375e-01,9.990089e-01
-44.6574,7.476609e-01,9.367148e-01,9.841514e-01,9.960342e-01,9.990081e-01
-44.1574,7.475220e-01,9.366681e-01,9.841381e-01,9.960307e-01,9.990072e-01
-43.6574,7.473747e-01,9.366187e-01,9.841240e-01,9.960269e-01,9.990062e-01
-43.1574,7.472188e-01,9.365663e-01,9.841091e-01,9.960229e-01,9.990052e-01
-42.6574,7.470535e-01,9.365107e-01,9.840933e-01,9.960187e-01,9.990041e-01
-42.1574,7.468783e-01,9.364518e-01,9.840765e-01,9.960142e-01,9.990029e-01
-41.6574,7.466928e-01,9.363895e-01,9.840587e-01,9.960095e-01,9.990017e-01
