# METADATA
d_probe_mm,0.3600
fig4_threshold_mhz,5.125000
kappa_W_per_rad_per_s,-3.763838e-14
P0_bar_W,8.003359e-06
A_LO,2.778820e-08
sigma_Ry_LO_sq,2.937719e-14
checkpoint_gap_100m_-10dBm_dB,20.009166

distance_m,SNR_conventional_dB_-10dBm,SNR_conventional_dB_10dBm,SNR_theoretical_dB_-10dBm,SNR_theoretical_dB_10dBm,SNR_practical_dB_-10dBm,SNR_practical_dB_10dBm,SNR_LOfree_dB_10dBm,SNR_LOfree_dB_20dBm
5956.621435,-58.8293,-38.8293,-38.8202,-18.8202,-38.0347,-18.0347,,
6309.573445,-59.3293,-39.3293,-39.3202,-19.3202,-38.5347,-18.5347,,
6683.439176,-59.8293,-39.8293,-39.8202,-19.8202,-39.0347,-19.0347,,
7079.457844,-60.3293,-40.3293,-40.3202,-20.3202,-39.5347,-19.5347,,
7498.942093,-60.8293,-40.8293,-40.8202,-20.8202,-40.0347,-20.0347,,
7943.282347,-61.3293,-41.3293,-41.3202,-21.3202,-40.5347,-20.5347,,
8413.951416,-61.8293,-41.8293,-41.8202,-21.8202,-41.0347,-21.0347,,
8912.509381,-62.3293,-42.3293,-42.3202,-22.3202,-41.5347,-21.5347,,
9440.608763,-62.8293,-42.8293,-42.8202,-22.8202,-42.0347,-22.0347,,
10000.000000,-63.3293,-43.3293,-43.3202,-23.3202,-42.5347,-22.5347,,
10592.537252,-63.8293,-43.8293,-43.8202,-23.8202,-43.0347,-23.0347,,
11220.184543,-64.3293,-44.3293,-44.3202,-24.3202,-43.5347,-23.5347,,
11885.022274,-64.8293,-44.8293,-44.8202,-24.8202,-44.0347,-24.0347,,
12589.254118,-65.3293,-45.3293,-45.3202,-25.3202,-44.5347,-24.5347,,
13335.214322,-65.8293,-45.8293,-45.8202,-25.8202,-45.0347,-25.0347,,
14125.375446,-66.3293,-46.3293,-46.3202,-26.3202,-45.5347,-25.5347,,
14962.356561,-66.8293,-46.8293,-46.8202,-26.8202,-46.0347,-26.0347,,
15848.931925,-67.3293,-47.3293,-47.3202,-27.3202,-46.5347,-26.5347,,
16788.040181,-67.8293,-47.8293,-47.8202,-27.8202,-47.0347,-27.0347,,
17782.794100,-68.3293,-48.3293,-48.3202,-28.3202,-47.5347,-27.5347,,
18836.490895,-68.8293,-48.8293,-48.8202,-28.8202,-48.0347,-28.0347,,
19952.623150,-69.3293,-49.3293,-49.3202,-29.3202,-48.5347,-28.5347,,
21134.890398,-69.8293,-49.8293,-49.8202,-29.8202,-49.0347,-29.0347,,
22387.211386,-70.3293,-50.3293,-50.3202,-30.3202,-49.5347,-29.5347,,
23713.737057,-70.8293,-50.8293,-50.8202,-30.8202,-50.0347,-30.0347,,
25118.864315,-71.3293,-51.3293,-51.3202,-31.3202,-50.5347,-30.5347,,
26607.250598,-71.8293,-51.8293,-51.8202,-31.8202,-51.0347,-31.0347,,
28183.829313,-72.3293,-52.3293,-52.3202,-32.3202,-51.5347,-31.5347,,
29853.826189,-72.8293,-52.8293,-52.8202,-32.8202,-52.0347,-32.0347,,
31622.776602,-73.3293,-53.3293,-53.3202,-33.3202,-52.5347,-32.5347,,
33496.543916,-73.8293,-53.8293,-53.8202,-33.8202,-53.0347,-33.0347,,
35481.338923,-74.3293,-54.3293,-54.3202,-34.3202,-53.5347,-33.5347,,
37583.740429,-74.8293,-54.8293,-54.8202,-34.8202,-54.0347,-34.0347,,
39810.717055,-75.3293,-55.3293,-55.3202,-35.3202,-54.5347,-34.5347,,
42169.650343,-75.8293,-55.8293,-55.8202,-35.8202,-55.0347,-35.0347,,
44668.359215,-76.3293,-56.3293,-56.3202,-36.3202,-55.5347,-35.5347,,
47315.125896,-76.8293,-56.8293,-56.8202,-36.8202,-56.0347,-36.0347,,
50118.723363,-77.3293,-57.3293,-57.3202,-37.3202,-56.5347,-36.5347,,
53088.444423,-77.8293,-57.8293,-57.8202,-37.8202,-57.0347,-37.0347,,
56234.132519,-78.3293,-58.3293,-58.3202,-38.3202,-57.5347,-37.5347,,
59566.214353,-78.8293,-58.8293,-58.8202,-38.8202,-58.0347,-38.0347,,
63095.734448,-79.3293,-59.3293,-59.3202,-39.3202,-58.5347,-38.5347,,
66834.391757,-79.8293,-59.8293,-59.8202,-39.8202,-59.0347,-39.0347,,
70794.578438,-80.3293,-60.3293,-60.3202,-40.3202,-59.5347,-39.5347,,
74989.420933,-80.8293,-60.8293,-60.8202,-40.8202,-60.0347,-40.0347,,
79432.823472,-81.3293,-61.3293,-61.3202,-41.3202,-60.5347,-40.5347,,
84139.514165,-81.8293,-61.8293,-61.8202,-41.8202,-61.0347,-41.0347,,
89125.093813,-82.3293,-62.3293,-62.3202,-42.3202,-61.5347,-41.5347,,
94406.087629,-82.8293,-62.8293,-62.8202,-42.8202,-62.0347,-42.0347,,
100000.000000,-83.3293,-63.3293,-63.3202,-43.3202,-62.5347,-42.5347,,
105925.372518,-83.8293,-63.8293,-63.8202,-43.8202,-63.0347,-43.0347,,
112201.845430,-84.3293,-64.3293,-64.3202,-44.3202,-63.5347,-43.5347,,
118850.222744,-84.8293,-64.8293,-64.8202,-44.8202,-64.0347,-44.0347,,
125892.541179,-85.3293,-65.3293,-65.3202,-45.3202,-64.5347,-44.5347,,
133352.143216,-85.8293,-65.8293,-65.8202,-45.8202,-65.0347,-45.0347,,
141253.754462,-86.3293,-66.3293,-66.3202,-46.3202,-65.5347,-45.5347,,
149623.565609,-86.8293,-66.8293,-66.8202,-46.8202,-66.0347,-46.0347,,
158489.319246,-87.3293,-67.3293,-67.3202,-47.3202,-66.5347,-46.5347,,
167880.401812,-87.8293,-67.8293,-67.8202,-47.8202,-67.0347,-47.0347,,
177827.941004,-88.3293,-68.3293,-68.3202,-48.3202,-67.5347,-47.5347,,
188364.908949,-88.8293,-68.8293,-68.8202,-48.8202,-68.0347,-48.0347,,
199526.231497,-89.3293,-69.3293,-69.3202,-49.3202,-68.5347,-48.5347,,
211348.903984,-89.8293,-69.8293,-69.8202,-49.8202,-69.0347,-49.0347,,
223872.113857,-90.3293,-70.3293,-70.3202,-50.3202,-69.5347,-49.5347,,
237137.370566,-90.8293,-70.8293,-70.8202,-50.8202,-70.0347,-50.0347,,
251188.643151,-91.3293,-71.3293,-71.3202,-51.3202,-70.5347,-50.5347,,
266072.505980,-91.8293,-71.8293,-71.8202,-51.8202,-71.0347,-51.0347,,
281838.293126,-92.3293,-72.3293,-72.3202,-52.3202,-71.5347,-51.5347,,
