delta_c_MHz,R_qutip,Pout_microW
7.0000,0.1022,0.000013
7.2000,0.1022,0.000011
7.4000,0.1022,0.000009
7.6000,0.1022,0.000008
7.8000,0.1022,0.000007
8.0000,0.1022,0.000006
8.2000,0.1022,0.000005
8.4000,0.1022,0.000005
8.6000,0.1022,0.000004
8.8000,0.1022,0.000004
9.0000,0.1022,0.000003
9.2000,0.1022,0.000003
9.4000,0.1022,0.000003
9.6000,0.1022,0.000003
9.8000,0.1022,0.000002
10.0000,0.1022,0.000002
10.2000,0.1022,0.000002
10.4000,0.1022,0.000002
10.6000,0.1022,0.000002
10.8000,0.1022,0.000002
11.0000,0.1022,0.000002
11.2000,0.1022,0.000001
11.4000,0.1022,0.000001
11.6000,0.1022,0.000001
11.8000,0.1022,0.000001
12.0000,0.1022,0.000001
12.2000,0.1022,0.000001
12.4000,0.1022,0.000001
12.6000,0.1022,0.000001
12.8000,0.1022,0.000001
13.0000,0.1022,0.000001
13.2000,0.1022,0.000001
13.4000,0.1022,0.000001
13.6000,0.1022,0.000001
13.8000,0.1022,0.000001
14.0000,0.1022,0.000001
14.2000,0.1022,0.000001
14.4000,0.1022,0.000001
14.6000,0.1022,0.000001
14.8000,0.1022,0.000001
15.0000,0.1022,0.000001
15.2000,0.1022,0.000001
15.4000,0.1022,0.000001
15.6000,0.1022,0.000001
15.8000,0.1022,0.000001
16.0000,0.1022,0.000001
16.2000,0.1022,0.000001
16.4000,0.1022,0.000001
16.6000,0.1022,0.000001
16.8000,0.1022,0.000001
17.0000,0.1022,0.000001
17.2000,0.1022,0.000001
17.4000,0.1022,0.000001
17.6000,0.1022,0.000001
17.8000,0.1022,0.000001
18.0000,0.1022,0.000001
18.2000,0.1022,0.000001
18.4000,0.1022,0.000001
18.6000,0.1022,0.000001
18.8000,0.1022,0.000001
19.0000,0.1022,0.000001
19.2000,0.1022,0.000001
19.4000,0.1022,0.000001
19.6000,0.1022,0.000000
19.8000,0.1022,0.000000
20.0000,0.1022,0.000000
-20.0000,0.2044,0.000000
-19.8000,0.2044,0.000000
-19.6000,0.2044,0.000000
-19.4000,0.2044,0.000001
-19.2000,0.2044,0.000001
-19.0000,0.2044,0.000001
-18.8000,0.2044,0.000001
-18.6000,0.2044,0.000001
-18.4000,0.2044,0.000001
-18.2000,0.2044,0.000001
-18.0000,0.2044,0.000001
-17.8000,0.2044,0.000001
-17.6000,0.2044,0.000001
-17.4000,0.2044,0.000001
-17.2000,0.2044,0.000001
-17.0000,0.2044,0.000001
-16.8000,0.2044,0.000001
-16.6000,0.2044,0.000001
-16.4000,0.2044,0.000001
-16.2000,0.2044,0.000001
-16.0000,0.2044,0.000001
-15.8000,0.2044,0.000001
-15.6000,0.2044,0.000001
-15.4000,0.2044,0.000001
-15.2000,0.2044,0.000001
-15.0000,0.2044,0.000001
-14.8000,0.2044,0.000001
-14.6000,0.2044,0.000001
-14.4000,0.2044,0.000001
-14.2000,0.2044,0.000001
-14.0000,0.2044,0.000001
-13.8000,0.2044,0.000001
-13.6000,0.2044,0.000001
-13.4000,0.2044,0.000001
-13.2000,0.2044,0.000001
-13.0000,0.2044,0.000001
-12.8000,0.2044,0.000001
-12.6000,0.2044,0.000001
-12.4000,0.2044,0.000001
-12.2000,0.2044,0.000001
-12.0000,0.2044,0.000001
-11.8000,0.2044,0.000001
-11.6000,0.2044,0.000001
-11.4000,0.2044,0.000001
-11.2000,0.2044,0.000001
-11.0000,0.2044,0.000002
-10.8000,0.2044,0.000002
-10.6000,0.2044,0.000002
-10.4000,0.2044,0.000002
-10.2000,0.2044,0.000002
-10.0000,0.2044,0.000002
-9.8000,0.2044,0.000002
-9.6000,0.2044,0.000003
-9.4000,0.2044,0.000003
-9.2000,0.2044,0.000003
-9.0000,0.2044,0.000003
-8.8000,0.2044,0.000004
-8.6000,0.2044,0.000004
-8.4000,0.2044,0.000005
-8.2000,0.2044,0.000005
-8.0000,0.2044,0.000006
-7.8000,0.2044,0.000007
-7.6000,0.2044,0.000008
-7.4000,0.2044,0.000010
-7.2000,0.2044,0.000011
-7.0000,0.2044,0.000013
-6.8000,0.2044,0.000016
-6.6000,0.2044,0.000020
-6.4000,0.2044,0.000025
-6.2000,0.2044,0.000031
-6.0000,0.2044,0.000039
-5.8000,0.2044,0.000051
-5.6000,0.2044,0.000067
-5.4000,0.2044,0.000089
-5.2000,0.2044,0.000121
-5.0000,0.2044,0.000167
-4.8000,0.2044,0.000236
-4.6000,0.2044,0.000341
-4.4000,0.2044,0.000502
-4.2000,0.2044,0.000756
-4.0000,0.2044,0.001163
-3.8000,0.2044,0.001830
-3.6000,0.2044,0.002945
-3.4000,0.2044,0.004841
-3.2000,0.2044,0.008121
-3.0000,0.2044,0.013876
-2.8000,0.2044,0.024089
-2.6000,0.2044,0.042336
-2.4000,0.2044,0.074991
-2.2000,0.2044,0.133138
-2.0000,0.2044,0.235325
-1.8000,0.2044,0.410874
-1.6000,0.2044,0.702363
-1.4000,0.2044,1.164081
-1.2000,0.2044,1.851323
-1.0000,0.2044,2.795851
-0.8000,0.2044,3.969687
-0.6000,0.2044,5.253659
-0.4000,0.2044,6.439219
-0.2000,0.2044,7.281918
0.0000,0.2044,7.587267
0.2000,0.2044,7.281918
0.4000,0.2044,6.439219
0.6000,0.2044,5.253659
0.8000,0.2044,3.969687
1.0000,0.2044,2.795851
1.2000,0.2044,1.851323
1.4000,0.2044,1.164081
1.6000,0.2044,0.702363
1.8000,0.2044,0.410874
2.0000,0.2044,0.235325
2.2000,0.2044,0.133138
2.4000,0.2044,0.074991
2.6000,0.2044,0.042336
2.8000,0.2044,0.024089
3.0000,0.2044,0.013876
3.2000,0.2044,0.008121
3.4000,0.2044,0.004841
3.6000,0.2044,0.002945
3.8000,0.2044,0.001830
4.0000,0.2044,0.001163
4.2000,0.2044,0.000756
4.4000,0.2044,0.000502
4.6000,0.2044,0.000341
4.8000,0.2044,0.000236
5.0000,0.2044,0.000167
5.2000,0.2044,0.000121
5.4000,0.2044,0.000089
5.6000,0.2044,0.000067
5.8000,0.2044,0.000051
6.0000,0.2044,0.000039
6.2000,0.2044,0.000031
6.4000,0.2044,0.000025
6.6000,0.2044,0.000020
6.8000,0.2044,0.000016
7.0000,0.2044,0.000013
7.2000,0.2044,0.000011
7.4000,0.2044,0.000010
7.6000,0.2044,0.000008
7.8000,0.2044,0.000007
8.0000,0.2044,0.000006
8.2000,0.2044,0.000005
8.4000,0.2044,0.000005
8.6000,0.2044,0.000004
8.8000,0.2044,0.000004
9.0000,0.2044,0.000003
9.2000,0.2044,0.000003
9.4000,0.2044,0.000003
9.6000,0.2044,0.000003
9.8000,0.2044,0.000002
10.0000,0.2044,0.000002
10.2000,0.2044,0.000002
10.4000,0.2044,0.000002
10.6000,0.2044,0.000002
10.8000,0.2044,0.000002
11.0000,0.2044,0.000002
11.2000,0.2044,0.000001
11.4000,0.2044,0.000001
11.6000,0.2044,0.000001
11.8000,0.2044,0.000001
12.0000,0.2044,0.000001
12.2000,0.2044,0.000001
12.4000,0.2044,0.000001
12.6000,0.2044,0.000001
12.8000,0.2044,0.000001
13.0000,0.2044,0.000001
13.2000,0.2044,0.000001
13.4000,0.2044,0.000001
13.6000,0.2044,0.000001
13.8000,0.2044,0.000001
14.0000,0.2044,0.000001
14.2000,0.2044,0.000001
14.4000,0.2044,0.000001
14.6000,0.2044,0.000001
14.8000,0.2044,0.000001
15.0000,0.2044,0.000001
15.2000,0.2044,0.000001
15.4000,0.2044,0.000001
15.6000,0.2044,0.000001
15.8000,0.2044,0.000001
16.0000,0.2044,0.000001
16.2000,0.2044,0.000001
16.4000,0.2044,0.000001
16.6000,0.2044,0.000001
16.8000,0.2044,0.000001
17.0000,0.2044,0.000001
17.2000,0.2044,0.000001
17.4000,0.2044,0.000001
17.6000,0.2044,0.000001
17.8000,0.2044,0.000001
18.0000,0.2044,0.000001
18.2000,0.2044,0.000001
18.4000,0.2044,0.000001
18.6000,0.2044,0.000001
18.8000,0.2044,0.000001
19.0000,0.2044,0.000001
19.2000,0.2044,0.000001
19.4000,0.2044,0.000001
19.6000,0.2044,0.000000
19.8000,0.2044,0.000000
20.0000,0.2044,0.000000
-20.0000,0.3066,0.000000
-19.8000,0.3066,0.000000
-19.6000,0.3066,0.000000
-19.4000,0.3066,0.000001
-19.2000,0.3066,0.000001
-19.0000,0.3066,0.000001
-18.8000,0.3066,0.000001
-18.6000,0.3066,0.000001
-18.4000,0.3066,0.000001
-18.2000,0.3066,0.000001
-18.0000,0.3066,0.000001
-17.8000,0.3066,0.000001
-17.6000,0.3066,0.000001
-17.4000,0.3066,0.000001
-17.2000,0.3066,0.000001
-17.0000,0.3066,0.000001
-16.8000,0.3066,0.000001
-16.6000,0.3066,0.000001
-16.4000,0.3066,0.000001
-16.2000,0.3066,0.000001
-16.0000,0.3066,0.000001
-15.8000,0.3066,0.000001
-15.6000,0.3066,0.000001
-15.4000,0.3066,0.000001
-15.2000,0.3066,0.000001
-15.0000,0.3066,0.000001
-14.8000,0.3066,0.000001
-14.6000,0.3066,0.000001
-14.4000,0.3066,0.000001
-14.2000,0.3066,0.000001
-14.0000,0.3066,0.000001
-13.8000,0.3066,0.000001
-13.6000,0.3066,0.000001
-13.4000,0.3066,0.000001
-13.2000,0.3066,0.000001
-13.0000,0.3066,0.000001
-12.8000,0.3066,0.000001
-12.6000,0.3066,0.000001
-12.4000,0.3066,0.000001
-12.2000,0.3066,0.000001
-12.0000,0.3066,0.000001
-11.8000,0.3066,0.000001
-11.6000,0.3066,0.000001
-11.4000,0.3066,0.000001
-11.2000,0.3066,0.000001
-11.0000,0.3066,0.000002
-10.8000,0.3066,0.000002
-10.6000,0.3066,0.000002
-10.4000,0.3066,0.000002
-10.2000,0.3066,0.000002
-10.0000,0.3066,0.000002
-9.8000,0.3066,0.000002
-9.6000,0.3066,0.000003
-9.4000,0.3066,0.000003
-9.2000,0.3066,0.000003
-9.0000,0.3066,0.000003
-8.8000,0.3066,0.000004
-8.6000,0.3066,0.000004
-8.4000,0.3066,0.000005
-8.2000,0.3066,0.000005
-8.0000,0.3066,0.000006
-7.8000,0.3066,0.000007
