# METADATA
Omega_LO_opt_Eq58_MHz,2.957564
Omega_LO_operating_MHz,4.230000
linear_range_lower_MHz,1.034403
linear_range_upper_MHz,7.362704
linear_fit_slope_W_per_MHz,-1.053982e-06
linear_fit_intercept_W,4.014310e-05
linear_fit_R2,0.998178
linear_fit_resid_rms_W,8.317237e-08
n_qutip_solves,163

"# FIG.5(a): Omega_total_MHz, Pout_uW, linear_fit_Pout_uW, in_linear_range"
Omega_total_MHz,Pout_uW,linear_fit_Pout_uW,in_linear_range
6.801700e-07,1.0,5.066887,34.725009,True
6.818371e-07,1.0,5.066102,34.725868,True
6.835042e-07,1.0,5.065315,34.726730,True
6.851713e-07,1.0,5.064526,34.727594,True
6.868384e-07,1.0,5.063735,34.728459,True
6.885055e-07,1.0,5.062943,34.729327,True
6.901725e-07,1.0,5.062149,34.730196,True
6.918396e-07,1.0,5.061353,34.731068,True
6.935067e-07,1.0,5.060555,34.731941,True
6.951738e-07,1.0,5.059756,34.732817,True
6.968409e-07,1.0,5.058954,34.733694,True
6.985080e-07,1.0,5.058151,34.734574,True
7.001750e-07,1.0,5.057347,34.735455,True
7.018421e-07,1.0,5.056540,34.736339,True
