# METADATA
fig4_threshold_mhz,5.125000
fig5_Omega_LO_mhz,4.230000
fig5_linear_range_low_mhz,1.034403
fig5_linear_range_high_mhz,7.362704
Omega_RF_max_from_fig5_mhz,3.132704
kappa_W_per_rad_per_s,-1.677464e-13
P0_bar_W,3.566929e-05
A_LO,5.519570e-07
sigma_Ry_LO_sq,7.556606e-14
n_qutip_solves_this_script,350

distance_m,SNR_conventional_dB_PTx-10dBm,SNR_conventional_dB_PTx10dBm,SNR_theoretical_LO_dressed_dB_PTx-10dBm,SNR_theoretical_LO_dressed_dB_PTx10dBm,SNR_practical_LO_dressed_dB_PTx-10dBm,SNR_practical_LO_dressed_dB_PTx10dBm,practical_in_linear_region_PTx-10dBm,practical_in_linear_region_PTx10dBm,SNR_LO_free_dB_PTx10dBm,SNR_LO_free_dB_PTx20dBm,LO_free_resolved_PTx10dBm,LO_free_resolved_PTx20dBm,Omega_RF_MHz_PTx-10dBm,Omega_RF_MHz_PTx10dBm
84.139514,-21.8293,-1.8293,7.0571,27.0571,7.8426,27.8390,True,True,,,False,False,0.015113,0.151125
89.125094,-22.3293,-2.3293,6.5571,26.5571,7.3426,27.3394,True,True,,,False,False,0.014267,0.142672
94.406088,-22.8293,-2.8293,6.0571,26.0571,6.8426,26.8397,True,True,,,False,False,0.013469,0.134691
100.000000,-23.3293,-3.3293,5.5571,25.5571,6.3426,26.3400,True,True,,,False,False,0.012716,0.127156
105.925373,-23.8293,-3.8293,5.0571,25.0571,5.8426,25.8403,True,True,,,False,False,0.012004,0.120043
112.201845,-24.3293,-4.3293,4.5571,24.5571,5.3426,25.3405,True,True,,,False,False,0.011333,0.113328
118.850223,-24.8293,-4.8293,4.0571,24.0571,4.8426,24.8408,True,True,,,False,False,0.010699,0.106989
125.892541,-25.3293,-5.3293,3.5571,23.5571,4.3426,24.3410,True,True,,,False,False,0.010100,0.101004
133.352143,-25.8293,-5.8293,3.0571,23.0571,3.8426,23.8411,True,True,,,False,False,0.009535,0.095354
141.253754,-26.3293,-6.3293,2.5571,22.5571,3.3426,23.3413,True,True,,,False,False,0.009002,0.090020
149.623566,-26.8293,-6.8293,2.0571,22.0571,2.8426,22.8414,True,True,,,False,False,0.008498,0.084984
158.489319,-27.3293,-7.3293,1.5571,21.5571,2.3426,22.3416,True,True,,,False,False,0.008023,0.080230
167.880402,-27.8293,-7.8293,1.0571,21.0571,1.8426,21.8417,True,True,,,False,False,0.007574,0.075742
177.827941,-28.3293,-8.3293,0.5571,20.5571,1.3426,21.3418,True,True,,,False,False,0.007151,0.071505
188.364909,-28.8293,-8.8293,0.0571,20.0571,0.8426,20.8419,True,True,,,False,False,0.006751,0.067505
